code,name,market,sector33,sector17,size
7859,アルメディオ,standard,その他製品,情報通信・サービスその他,none
7860,エイベックス,prime,情報・通信業,情報通信・サービスその他,small1
7863,平賀,standard,その他製品,情報通信・サービスその他,none
7864,フジシールインターナショナル,prime,その他製品,情報通信・サービスその他,small1
7865,ピープル,standard,その他製品,情報通信・サービスその他,none
7867,タカラトミー,prime,その他製品,情報通信・サービスその他,mid400
7868,広済堂ホールディングス,prime,その他製品,情報通信・サービスその他,small2
7871,フクビ化学工業,standard,化学,素材・化学,none
7872,エステールホールディングス,standard,その他製品,情報通信・サービスその他,none
7874,レック,prime,化学,素材・化学,small2
7875,竹田ｉＰホールディングス,standard,その他製品,情報通信・サービスその他,none
7877,永大化工,standard,化学,素材・化学,none
7878,光・彩,standard,その他製品,情報通信・サービスその他,none
7879,ノダ,standard,その他製品,情報通信・サービスその他,none
7883,サンメッセ,standard,その他製品,情報通信・サービスその他,none
7885,タカノ,standard,その他製品,情報通信・サービスその他,none
7886,ヤマト　モビリティ　＆　Ｍｆｇ．,standard,化学,素材・化学,none
7887,南海プライウッド,standard,その他製品,情報通信・サービスその他,none
7888,三光合成,prime,化学,素材・化学,small2
7893,プロネクサス,prime,その他製品,情報通信・サービスその他,small2
7896,セブン工業,standard,その他製品,情報通信・サービスその他,none
7897,ホクシン,standard,その他製品,情報通信・サービスその他,none
7898,ウッドワン,standard,その他製品,情報通信・サービスその他,none
7901,マツモト,standard,その他製品,情報通信・サービスその他,none
7902,ソノコム,standard,その他製品,情報通信・サービスその他,none
7906,ヨネックス,standard,その他製品,情報通信・サービスその他,none
7908,きもと,standard,化学,素材・化学,none
7911,ＴＯＰＰＡＮホールディングス,prime,その他製品,情報通信・サービスその他,mid400
7912,大日本印刷,prime,その他製品,情報通信・サービスその他,mid400
7914,共同印刷,prime,その他製品,情報通信・サービスその他,small2
7915,ＮＩＳＳＨＡ,prime,その他製品,情報通信・サービスその他,small1
7916,光村印刷,standard,その他製品,情報通信・サービスその他,none
7917,ＺＡＣＲＯＳ,prime,化学,素材・化学,small2
7918,ヴィア・ホールディングス,standard,小売業,小売,none
7919,野崎印刷紙業,standard,その他製品,情報通信・サービスその他,none
7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,prime,その他製品,情報通信・サービスその他,small2
7927,ムトー精工,standard,化学,素材・化学,none
7928,旭化学工業,standard,化学,素材・化学,none
7931,未来工業,prime,化学,素材・化学,small2
7932,ニッピ,standard,その他製品,情報通信・サービスその他,none
7936,アシックス,prime,その他製品,情報通信・サービスその他,large70
7937,ツツミ,standard,その他製品,情報通信・サービスその他,small2
7938,リーガルコーポレーション,standard,その他製品,情報通信・サービスその他,none
7939,研創,standard,その他製品,情報通信・サービスその他,none
7942,ＪＳＰ,prime,化学,素材・化学,small2
7943,ニチハ,prime,ガラス・土石製品,建設・資材,small1
7944,ローランド,prime,その他製品,情報通信・サービスその他,small1
7946,光陽社,standard,その他製品,情報通信・サービスその他,none
7947,エフピコ,prime,化学,素材・化学,small1
7949,小松ウオール工業,prime,その他製品,情報通信・サービスその他,small2
7951,ヤマハ,prime,その他製品,情報通信・サービスその他,mid400
7952,河合楽器製作所,prime,その他製品,情報通信・サービスその他,small2
7953,菊水化学工業,standard,その他製品,情報通信・サービスその他,none
7955,クリナップ,prime,その他製品,情報通信・サービスその他,small2
7956,ピジョン,prime,その他製品,情報通信・サービスその他,mid400
7957,フジコピアン,standard,その他製品,情報通信・サービスその他,none
7962,キングジム,prime,その他製品,情報通信・サービスその他,small2
7963,興研,standard,その他製品,情報通信・サービスその他,none
7965,象印マホービン,prime,電気機器,電機・精密,small1
7966,リンテック,prime,その他製品,情報通信・サービスその他,small1
7970,信越ポリマー,prime,化学,素材・化学,small1
7971,東リ,standard,化学,素材・化学,none
7972,イトーキ,prime,その他製品,情報通信・サービスその他,small1
7974,任天堂,prime,その他製品,情報通信・サービスその他,core30
7975,リヒトラブ,standard,その他製品,情報通信・サービスその他,none
7976,三菱鉛筆,prime,その他製品,情報通信・サービスその他,small1
7979,松風,prime,精密機器,電機・精密,small2
7980,重松製作所,standard,その他製品,情報通信・サービスその他,none
7981,タカラスタンダード,prime,その他製品,情報通信・サービスその他,small1
7983,ミロク,standard,その他製品,情報通信・サービスその他,none
7984,コクヨ,prime,その他製品,情報通信・サービスその他,mid400
7985,ネポン,standard,金属製品,建設・資材,none
7986,日本アイ・エス・ケイ,standard,その他製品,情報通信・サービスその他,none
7987,ナカバヤシ,standard,その他製品,情報通信・サービスその他,small2
7988,ニフコ,prime,化学,素材・化学,mid400
7989,立川ブラインド工業,prime,金属製品,建設・資材,small2
7990,グローブライド,prime,その他製品,情報通信・サービスその他,small1
7991,マミヤ・オーピー,standard,機械,機械,none
7992,セーラー万年筆,standard,その他製品,情報通信・サービスその他,none
7994,オカムラ,prime,その他製品,情報通信・サービスその他,small1
7995,バルカー,prime,化学,素材・化学,small1
7997,くろがね工作所,standard,その他製品,情報通信・サービスその他,none
8001,伊藤忠商事,prime,卸売業,商社・卸売,core30
8002,丸紅,prime,卸売業,商社・卸売,large70
8005,スクロール,prime,小売業,小売,small2
8006,ユアサ・フナショク,standard,卸売業,商社・卸売,none
8007,高島,prime,卸売業,商社・卸売,none
8008,ヨンドシーホールディングス,prime,小売業,小売,small1
8011,三陽商会,prime,繊維製品,素材・化学,small2
8012,長瀬産業,prime,卸売業,商社・卸売,mid400
8013,ナイガイ,standard,繊維製品,素材・化学,none
8014,蝶理,prime,卸売業,商社・卸売,small2
8015,豊田通商,prime,卸売業,商社・卸売,large70
8016,オンワードホールディングス,prime,繊維製品,素材・化学,small1
8018,三共生興,standard,卸売業,商社・卸売,small2
8020,兼松,prime,卸売業,商社・卸売,mid400
8022,美津濃,prime,その他製品,情報通信・サービスその他,small1
8023,ＤＡＩＫＯ　ＸＴＥＣＨ,standard,情報・通信業,情報通信・サービスその他,none
8025,ツカモトコーポレーション,standard,卸売業,商社・卸売,none
8029,ルックホールディングス,standard,繊維製品,素材・化学,small2
8030,中央魚類,standard,卸売業,商社・卸売,none
8031,三井物産,prime,卸売業,商社・卸売,core30
8032,日本紙パルプ商事,prime,卸売業,商社・卸売,small2
8035,東京エレクトロン,prime,電気機器,電機・精密,core30
8037,カメイ,prime,卸売業,商社・卸売,small2
8039,築地魚市場,standard,卸売業,商社・卸売,none
8040,東京ソワール,standard,繊維製品,素材・化学,none
8041,ＯＵＧホールディングス,standard,卸売業,商社・卸売,none
8043,スターゼン,prime,卸売業,商社・卸売,small2
8045,横浜丸魚,standard,卸売業,商社・卸売,none
8046,丸藤シートパイル,standard,卸売業,商社・卸売,none
8050,セイコーグループ,prime,精密機器,電機・精密,small1
8051,山善,prime,卸売業,商社・卸売,small1
8052,椿本興業,prime,卸売業,商社・卸売,small2
8053,住友商事,prime,卸売業,商社・卸売,large70
8056,ＢＩＰＲＯＧＹ,prime,情報・通信業,情報通信・サービスその他,mid400
8057,内田洋行,prime,卸売業,商社・卸売,small1
8058,三菱商事,prime,卸売業,商社・卸売,core30
8059,第一実業,prime,卸売業,商社・卸売,small2
8060,キヤノンマーケティングジャパン,prime,卸売業,商社・卸売,mid400
8061,西華産業,prime,卸売業,商社・卸売,small1
8065,佐藤商事,prime,卸売業,商社・卸売,small2
8066,三谷商事,standard,卸売業,商社・卸売,none
8070,東京産業,prime,卸売業,商社・卸売,small2
8074,ＹＵＡＳＡ,prime,卸売業,商社・卸売,small1
8075,神鋼商事,prime,卸売業,商社・卸売,small2
8076,カノークス,standard,卸売業,商社・卸売,none
8077,トルク,standard,卸売業,商社・卸売,none
8078,阪和興業,prime,卸売業,商社・卸売,small1
8079,正栄食品工業,prime,卸売業,商社・卸売,small1
8081,カナデン,prime,卸売業,商社・卸売,small2
8084,ＲＹＯＤＥＮ,prime,卸売業,商社・卸売,small2
8085,ナラサキ産業,standard,卸売業,商社・卸売,none
8086,ニプロ,prime,精密機器,電機・精密,mid400
8088,岩谷産業,prime,卸売業,商社・卸売,mid400
8089,ナイス,standard,卸売業,商社・卸売,none
8091,ニチモウ,prime,卸売業,商社・卸売,none
8093,極東貿易,prime,卸売業,商社・卸売,small2
8095,アステナホールディングス,prime,卸売業,商社・卸売,small2
8097,三愛オブリ,prime,卸売業,商社・卸売,small1
8098,稲畑産業,prime,卸売業,商社・卸売,small1
8101,ＧＳＩクレオス,prime,卸売業,商社・卸売,small2
8103,明和産業,prime,卸売業,商社・卸売,small2
8104,クワザワホールディングス,standard,卸売業,商社・卸売,none
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,standard,卸売業,商社・卸売,none
8107,キムラタン,standard,繊維製品,素材・化学,none
8111,ゴールドウイン,prime,繊維製品,素材・化学,mid400
8113,ユニ・チャーム,prime,化学,素材・化学,large70
8115,ムーンバット,standard,卸売業,商社・卸売,none
8117,中央自動車工業,standard,卸売業,商社・卸売,none
8118,キング,standard,繊維製品,素材・化学,none
8119,三栄コーポレーション,standard,卸売業,商社・卸売,none
8123,川辺,standard,卸売業,商社・卸売,none
8125,ワキタ,prime,卸売業,商社・卸売,small1
8127,ヤマトインターナショナル,standard,繊維製品,素材・化学,none
8129,東邦ホールディングス,prime,卸売業,商社・卸売,mid400
8130,サンゲツ,prime,卸売業,商社・卸売,small1
8131,ミツウロコグループホールディングス,standard,卸売業,商社・卸売,small2
8132,シナネンホールディングス,prime,卸売業,商社・卸売,small2
8133,伊藤忠エネクス,prime,卸売業,商社・卸売,small1
8135,ゼット,standard,卸売業,商社・卸売,none
8136,サンリオ,prime,卸売業,商社・卸売,mid400
8137,サンワテクノス,prime,卸売業,商社・卸売,small2
8138,三京化成,standard,卸売業,商社・卸売,none
8139,ナガホリ,standard,卸売業,商社・卸売,none
8141,新光商事,prime,卸売業,商社・卸売,small2
8142,トーホー,prime,卸売業,商社・卸売,small2
8143,ラピーヌ,standard,繊維製品,素材・化学,none
8144,デンキョーグループホールディングス,standard,卸売業,商社・卸売,none
8147,トミタ,standard,卸売業,商社・卸売,none
8150,三信電気,prime,卸売業,商社・卸売,small2
8151,東陽テクニカ,prime,卸売業,商社・卸売,small2
8152,ソマール,standard,卸売業,商社・卸売,none
8153,モスフードサービス,prime,卸売業,商社・卸売,small1
8154,加賀電子,prime,卸売業,商社・卸売,small1
8157,都築電気,prime,情報・通信業,情報通信・サービスその他,small2
8158,ソーダニッカ,prime,卸売業,商社・卸売,small2
