delist_date,name,code,market_name,reason,category
2025-12-19,日本調剤（株）,3341,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-12-19,（株）ダイセキ環境ソリューション,1712,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-12-19,ＴＡＣ（株）,4319,スタンダード,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-12-22,古河電池（株）,6937,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-12-23,（株）ケアネット,2150,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-12-29,大同工業（株）,6373,スタンダード,椿本チエインの完全子会社化（株式交換）,acquisition
2026-01-05,（株）スーパーバリュー,3094,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2026-01-08,（株）東京個別指導学院,4745,スタンダード,支配株主等による買収（株式併合）,acquisition
2026-01-13,（株）芝浦電子,6957,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2026-01-14,レジル（株）,176A,グロース,他社による買収（公開買付け、株式併合）,acquisition
2026-01-14,（株）ＦＣホールディングス,6542,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2026-01-16,ピクセルカンパニーズ（株）,2743,スタンダード,内部管理体制確認書の提出前で、内部管理体制等が適切に整備される又は適切に運用される見込みがなくなったと当取引所が認める場合,failure
2026-01-20,富士石油（株）,5017,プライム,支配株主等による買収（公開買付け、株式併合）,acquisition
2026-01-27,フロイント産業（株）,6312,スタンダード,ＭＢＯ（公開買付け、株式併合）,acquisition
2026-01-28,（株）田中化学研究所,4080,スタンダード,住友化学の完全子会社化（株式交換）,acquisition
2026-01-29,住友理工（株）,5191,プライム,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2026-01-29,こころネット（株）,6060,スタンダード,燦ホールディングスの完全子会社化（株式交換）,acquisition
2026-01-29,日本高周波鋼業（株）,5476,スタンダード,神戸製鋼所の完全子会社化（株式交換）,acquisition
2026-02-05,パラマウントベッドホールディングス（株）,7817,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2026-02-16,札幌臨床検査センター（株）,9776,スタンダード,他社による買収（株式併合）,acquisition
2026-02-25,アウトルックコンサルティング（株）,5596,グロース,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2026-02-26,芦森工業（株）,3526,スタンダード,支配株主等による買収（公開買付け、株式併合）,acquisition
2026-02-26,（株）アイネット,9600,プライム,他社による買収（公開買付け、株式併合）,acquisition
2026-02-26,（株）ライトオン,7445,スタンダード,ワールドの完全子会社化（株式交換）,acquisition
2026-03-03,住友電設（株）,1949,プライム,他社による買収（公開買付け、株式併合）,acquisition
